Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
SRI CHAITANYA TECHNICAL CAMPUS,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,143715,60000,JNTUH
SRI CHAITANYA TECHNICAL CAMPUS,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,45823,60000,JNTUH
SRI CHAITANYA TECHNICAL CAMPUS,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,156840,60000,JNTUH
SRI CHAITANYA TECHNICAL CAMPUS,MECHANICAL ENGINEERING,OC,BOYS,105994,60000,JNTUH
SREE CHAITANYA COLLEGE OF ENGINEERING,CIVIL ENGINEERING,OC,BOYS,81362,63000,JNTUH
SREE CHAITANYA COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,87491,63000,JNTUH
SREE CHAITANYA COLLEGE OF ENGINEERING,COMPUTER SCIENCE & DESIGN,OC,BOYS,104076,63000,JNTUH
SREE CHAITANYA COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,89668,63000,JNTUH
SREE CHAITANYA COLLEGE OF ENGINEERING,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,156840,63000,JNTUH
SREE CHAITANYA COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,OC,BOYS,156840,63000,JNTUH
SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,OC,BOYS,87627,60000,JNTUH
SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,92651,60000,JNTUH
SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,87213,60000,JNTUH
SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,113435,60000,JNTUH
SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,101865,60000,JNTUH
CMR TECHNICAL CAMPUS (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,37143,105000,JNTUH
CMR TECHNICAL CAMPUS (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,27438,105000,JNTUH
CMR TECHNICAL CAMPUS (AUTONOMOUS),COMPUTER SCIENCE AND INFORMATION  TECHNOLOGY,OC,BOYS,37931,105000,JNTUH
CMR TECHNICAL CAMPUS (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,34895,105000,JNTUH
CMR TECHNICAL CAMPUS (AUTONOMOUS),ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,45011,105000,JNTUH
CMR TECHNICAL CAMPUS (AUTONOMOUS),INFORMATION  TECHNOLOGY,OC,BOYS,40460,105000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,OC,BOYS,72860,115000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),OC,BOYS,18245,115000,JNTUH
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,12778,115000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,14089,115000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,16814,115000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,32708,115000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,54873,115000,JNTUH
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),MECHANICAL ENGINEERING,OC,BOYS,46479,115000,JNTUH
